GemeenteCode;ProvincieCode;GemeeenteNaam;
3;PV20;Appingedam;
5;PV20;Bedum;
9;PV20;Ten Boer;
10;PV20;Delfzijl;
14;PV20;Groningen;
15;PV20;Grootegast;
17;PV20;Haren;
22;PV20;Leek;
24;PV20;Loppersum;
25;PV20;Marum;
34;PV24;Almere;
37;PV20;Stadskanaal;
47;PV20;Veendam;
50;PV24;Zeewolde;
53;PV20;Winsum;
56;PV20;Zuidhorn;
58;PV21;Dongeradeel;
59;PV21;Achtkarspelen;
60;PV21;Ameland;
72;PV21;Harlingen;
74;PV21;Heerenveen;
79;PV21;Kollumerland en Nieuwkruisland;
80;PV21;Leeuwarden;
85;PV21;Ooststellingwerf;
86;PV21;Opsterland;
88;PV21;Schiermonnikoog;
90;PV21;Smallingerland;
93;PV21;Terschelling;
96;PV21;Vlieland;
98;PV21;Weststellingwerf;
106;PV22;Assen;
109;PV22;Coevorden;
114;PV22;Emmen;
118;PV22;Hoogeveen;
119;PV22;Meppel;
141;PV23;Almelo;
147;PV23;Borne;
148;PV23;Dalfsen;
150;PV23;Deventer;
153;PV23;Enschede;
158;PV23;Haaksbergen;
160;PV23;Hardenberg;
163;PV23;Hellendoorn;
164;PV23;Hengelo;
166;PV23;Kampen;
168;PV23;Losser;
171;PV24;Noordoostpolder;
173;PV23;Oldenzaal;
175;PV23;Ommen;
177;PV23;Raalte;
180;PV23;Staphorst;
183;PV23;Tubbergen;
184;PV24;Urk;
189;PV23;Wierden;
193;PV23;Zwolle;
197;PV25;Aalten;
200;PV25;Apeldoorn;
202;PV25;Arnhem;
203;PV25;Barneveld;
209;PV25;Beuningen;
213;PV25;Brummen;
214;PV25;Buren;
216;PV25;Culemborg;
221;PV25;Doesburg;
222;PV25;Doetinchem;
225;PV25;Druten;
226;PV25;Duiven;
228;PV25;Ede;
230;PV25;Elburg;
232;PV25;Epe;
233;PV25;Ermelo;
236;PV25;Geldermalsen;
243;PV25;Harderwijk;
244;PV25;Hattem;
246;PV25;Heerde;
252;PV25;Heumen;
262;PV25;Lochem;
263;PV25;Maasdriel;
267;PV25;Nijkerk;
268;PV25;Nijmegen;
269;PV25;Oldebroek;
273;PV25;Putten;
274;PV25;Renkum;
275;PV25;Rheden;
277;PV25;Rozendaal;
279;PV25;Scherpenzeel;
281;PV25;Tiel;
285;PV25;Voorst;
289;PV25;Wageningen;
293;PV25;Westervoort;
294;PV25;Winterswijk;
296;PV25;Wijchen;
297;PV25;Zaltbommel;
299;PV25;Zevenaar;
301;PV25;Zutphen;
302;PV25;Nunspeet;
303;PV24;Dronten;
