ID;RegioS;JongerDan5Jaar_4;k_5Tot10Jaar_5;k_10Tot15Jaar_6;k_15Tot20Jaar_7;k_20Tot25Jaar_8;k_25Tot45Jaar_9;k_45Tot65Jaar_10;k_65Tot80Jaar_11;k_80JaarOfOuder_12;ZeerSterkStedelijk_52;SterkStedelijk_53;MatigStedelijk_54;WeinigStedelijk_55;NietStedelijk_56;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;BedrijfsvestigingenTotaal_164;AfstandTotSchoolBasisonderwijs_216;AantalGroteSupermarktenBinnen3Km_223;AantalRestaurantsBinnen3Km_225
1505;GM1680;938;1153;1440;1606;965;4398;8396;5017;1477;0;0;0;4180;21210;     6.0;    11.0;2230;     1.2;     1.5;     4.9
1531;GM0738;771;882;852;962;804;2998;3644;1726;514;0;0;0;4440;8720;     3.6;     5.0;1590;     0.7;     1.8;     1.2
1557;GM0358;1545;2016;2192;1994;1570;7112;9304;4321;1445;0;10;12650;15940;2900;    17.9;    12.9;3610;     0.8;     4.0;    15.4
1583;GM0197;1205;1476;1698;1708;1240;5500;8297;4414;1424;0;880;8620;9640;7820;     9.2;    11.3;2140;     0.8;     2.3;     7.1
1609;GM0480;;;;;;;;;;;;;;;;;;;;
1635;GM0739;;;;;;;;;;;;;;;;;;;;
1661;GM0305;;;;;;;;;;;;;;;;;;;;
1687;GM0059;1463;1703;1865;1839;1472;6325;7913;4168;1187;0;0;0;12240;15700;     7.2;    11.6;2365;     0.7;     2.7;     2.9
1713;GM0360;;;;;;;;;;;;;;;;;;;;
1739;GM0482;1266;1348;1286;1288;1152;4641;5126;2899;1008;0;11380;4850;3580;200;     9.3;     8.1;1685;     0.5;     4.0;    10.2
1765;GM0613;1342;1619;1694;1603;1146;5794;7807;3259;954;0;270;13650;10430;860;     9.8;    10.1;2005;     0.8;     4.9;     9.5
1791;GM0483;;;;;;;;;;;;;;;;;;;;
1817;GM0361;5531;5841;5765;6045;5870;28033;31058;15739;4588;36520;47990;9180;6250;8530;    56.6;    50.6;9835;     0.6;    12.2;    59.0
1843;GM0141;3580;3992;4463;4727;4037;17395;20523;10601;3311;7100;28550;21120;11260;4590;    43.5;    31.8;5125;     0.7;    10.5;    30.0
1869;GM0034;12300;13168;13453;13936;12556;56407;60104;17907;4159;2440;113120;56750;24630;7060;    68.7;    83.9;16250;     0.6;    10.1;    29.2
1895;GM0484;5692;6389;6498;6966;5870;26820;31200;15790;4457;31450;26990;20740;20040;10470;    43.3;    46.9;9795;     0.7;     7.2;    25.0
1921;GM0741;;;;;;;;;;;;;;;;;;;;
1947;GM1723;441;527;555;617;531;1976;3230;1712;494;0;0;0;0;10080;     2.4;     4.1;1220;     1.0;     1.3;     6.2
1973;GM1959;;;;;;;;;;;;;;;;;;;;
1999;GM0142;;;;;;;;;;;;;;;;;;;;
2025;GM1679;;;;;;;;;;;;;;;;;;;;
2051;GM0060;182;202;219;174;181;839;1020;663;174;0;0;0;0;3650;     1.7;     1.6;530;     0.8;     2.5;    15.2
2077;GM0306;;;;;;;;;;;;;;;;;;;;
2103;GM0307;9071;10036;10181;10065;8226;41723;43547;16824;5553;45240;77500;21180;8890;2420;    86.7;    66.6;14315;     0.6;    14.4;    66.6
2129;GM0198;;;;;;;;;;;;;;;;;;;;
2155;GM0362;5257;5574;4961;4845;5618;23262;23196;11852;5305;44760;32940;7420;3170;1570;    44.8;    39.8;8380;     0.7;    14.0;    49.7
