"ID";"RegioS";"Perioden";"Bevolkingsgroei_79";"Woningdichtheid_93";"GemiddeldeWoningwaarde_99";"ParticuliereHuishoudensExclStudenten_122";"Werkloosheid_155";"AantalHuisartsenpraktijkenBinnen3Km_210";"AfstandTotOpenbaarGroen_231";"AfstandTotOpritHoofdverkeersweg_232";"AfstandTotTreinstation_233"
"1505";"GM1680";"2018JJ00";"      -4";"      40";"     229";"    44.8";"     410";"     1.2";"       .";"     1.6";"    12.8"
"1531";"GM0738";"2018JJ00";"     168";"     101";"     251";"    48.3";"     120";"     1.2";"       .";"     1.5";"    16.1"
"1557";"GM0358";"2018JJ00";"     229";"     641";"     304";"    52.7";"     400";"     3.6";"       .";"     1.1";"     8.3"
"1583";"GM0197";"2018JJ00";"      49";"     123";"     195";"    41.9";"     270";"     2.7";"       .";"     1.0";"     4.4"
"1609";"GM0480";"2018JJ00";"";"";"";"";"";"";"";"";""
"1635";"GM0739";"2018JJ00";"";"";"";"";"";"";"";"";""
"1661";"GM0305";"2018JJ00";"";"";"";"";"";"";"";"";""
"1687";"GM0059";"2018JJ00";"     -83";"     118";"     171";"    38.4";"     480";"     1.7";"       .";"     1.3";"     7.2"
"1713";"GM0360";"2018JJ00";"";"";"";"";"";"";"";"";""
"1739";"GM0482";"2018JJ00";"      55";"     943";"     204";"    44.1";"     230";"     2.4";"       .";"     2.3";"     8.7"
"1765";"GM0613";"2018JJ00";"      53";"     476";"     266";"    52.9";"     320";"     6.0";"       .";"     1.6";"     8.9"
"1791";"GM0483";"2018JJ00";"";"";"";"";"";"";"";"";""
"1817";"GM0361";"2018JJ00";"      88";"     460";"     202";"    40.8";"    1520";"     9.9";"       .";"     1.1";"     3.0"
"1843";"GM0141";"2018JJ00";"     220";"     490";"     160";"    37.8";"    1110";"     8.9";"       .";"     2.5";"     2.4"
"1869";"GM0034";"2018JJ00";"    3914";"     637";"     198";"    43.6";"    3920";"     6.4";"       .";"     1.6";"     2.0"
"1895";"GM0484";"2018JJ00";"    1304";"     373";"     231";"    45.8";"    1430";"     4.8";"       .";"     1.7";"     3.4"
"1921";"GM0741";"2018JJ00";"";"";"";"";"";"";"";"";""
"1947";"GM1723";"2018JJ00";"      66";"      46";"     307";"    49.6";"     110";"     1.2";"       .";"     1.1";"    12.8"
"1973";"GM1959";"2018JJ00";"";"";"";"";"";"";"";"";""
"1999";"GM0142";"2018JJ00";"";"";"";"";"";"";"";"";""
"2025";"GM1679";"2018JJ00";"";"";"";"";"";"";"";"";""
"2051";"GM0060";"2018JJ00";"      19";"      29";"     238";"       .";"      70";"     1.0";"       .";"    19.1";"    39.6"
"2077";"GM0306";"2018JJ00";"";"";"";"";"";"";"";"";""
"2103";"GM0307";"2018JJ00";"    1060";"    1062";"     254";"    46.0";"    2410";"     7.6";"       .";"     1.6";"     2.6"
"2129";"GM0198";"2018JJ00";"";"";"";"";"";"";"";"";""
"2155";"GM0362";"2018JJ00";"     968";"    1016";"     342";"    49.9";"    1260";"    11.0";"       .";"     1.4";"     5.9"
"2181";"GM0363";"2018JJ00";"    8918";"    2615";"     340";"    40.3";"   13910";"    37.0";"       .";"     2.1";"     2.5"
"2207";"GM0364";"2018JJ00";"";"";"";"";"";"";"";"";""
"2233";"GM0199";"2018JJ00";"";"";"";"";"";"";"";"";""
"2259";"GM0105";"2018JJ00";"";"";"";"";"";"";"";"";""
"2285";"GM0366";"2018JJ00";"";"";"";"";"";"";"";"";""
"2311";"GM0200";"2018JJ00";"    1289";"     210";"     223";"    42.7";"    2390";"     8.5";"       .";"     2.1";"     3.2"
"2337";"GM0003";"2018JJ00";"     -80";"     249";"     138";"    35.5";"     190";"     1.0";"       .";"     1.0";"     1.5"
"2363";"GM0885";"2018JJ00";"";"";"";"";"";"";"";"";""
"2389";"GM0649";"2018JJ00";"";"";"";"";"";"";"";"";""
"2415";"GM0202";"2018JJ00";"    2042";"     761";"     187";"    37.0";"    2630";"     7.9";"       .";"     1.8";"     2.3"
"2441";"GM0106";"2018JJ00";"     255";"     384";"     172";"    39.1";"    1140";"     4.7";"       .";"     2.5";"     3.2"
"2467";"GM0743";"2018JJ00";"      -9";"      97";"       .";"    44.8";"     270";"     2.5";"       .";"     1.9";"     8.3"
"2493";"GM0143";"2018JJ00";"";"";"";"";"";"";"";"";""
"2519";"GM0650";"2018JJ00";"";"";"";"";"";"";"";"";""
"2545";"GM0744";"2018JJ00";"      48";"      37";"     265";"    45.9";"      80";"     0.7";"       .";"     1.6";"    19.3"
"2571";"GM0308";"2018JJ00";"     137";"     355";"     306";"    54.1";"     350";"     5.2";"       .";"     1.3";"     1.6"
"2597";"GM0745";"2018JJ00";"";"";"";"";"";"";"";"";""
"2623";"GM0489";"2018JJ00";"     196";"     972";"     263";"    52.1";"     610";"     9.6";"       .";"     2.4";"     4.4"
"2649";"GM0203";"2018JJ00";"     632";"     125";"     277";"    48.5";"     430";"     3.1";"       .";"     1.5";"     3.4"
"2675";"GM0144";"2018JJ00";"";"";"";"";"";"";"";"";""
"2701";"GM0005";"2018JJ00";"      18";"     104";"     181";"    42.0";"     150";"     1.0";"       .";"     0.9";"     2.1"
"2727";"GM0888";"2018JJ00";"      34";"     353";"     192";"    43.2";"     220";"     4.5";"       .";"     1.7";"     1.9"
"2753";"GM0746";"2018JJ00";"";"";"";"";"";"";"";"";""
"2779";"GM1954";"2018JJ00";"";"";"";"";"";"";"";"";""
"2805";"GM0370";"2018JJ00";"     198";"      54";"     323";"    52.7";"     100";"     3.4";"       .";"     1.4";"     6.4"
"2831";"GM0889";"2018JJ00";"      75";"     212";"     194";"    41.6";"     220";"     1.5";"       .";"     2.6";"     1.4"
"2857";"GM0107";"2018JJ00";"";"";"";"";"";"";"";"";""
"2883";"GM0890";"2018JJ00";"";"";"";"";"";"";"";"";""
"2909";"GM0007";"2018JJ00";"";"";"";"";"";"";"";"";""
"2935";"GM0206";"2018JJ00";"";"";"";"";"";"";"";"";""
"2961";"GM0372";"2018JJ00";"";"";"";"";"";"";"";"";""
"2987";"GM1945";"2018JJ00";"      25";"     180";"     227";"    42.8";"     510";"     2.7";"       .";"     1.1";"     7.7"
"3013";"GM0491";"2018JJ00";"";"";"";"";"";"";"";"";""
"3039";"GM1724";"2018JJ00";"      93";"      77";"     288";"    48.8";"     210";"     1.8";"       .";"     3.3";"    18.9"
"3065";"GM0893";"2018JJ00";"      34";"      55";"     208";"    42.7";"     210";"     0.8";"       .";"     1.6";"     8.1"
"3091";"GM0373";"2018JJ00";"      33";"     153";"     374";"    52.5";"     300";"     1.5";"       .";"     1.5";"     6.5"
"3117";"GM0748";"2018JJ00";"     457";"     376";"     206";"    41.4";"    1100";"     7.4";"       .";"     2.0";"     2.8"
"3143";"GM0749";"2018JJ00";"";"";"";"";"";"";"";"";""
"3169";"GM0207";"2018JJ00";"";"";"";"";"";"";"";"";""
"3195";"GM0492";"2018JJ00";"";"";"";"";"";"";"";"";""
"3221";"GM0493";"2018JJ00";"";"";"";"";"";"";"";"";""
"3247";"GM0751";"2018JJ00";"";"";"";"";"";"";"";"";""
"3273";"GM1859";"2018JJ00";"    -128";"      76";"     215";"    43.1";"     520";"     2.1";"       .";"     1.1";"     9.1"
"3299";"GM0752";"2018JJ00";"";"";"";"";"";"";"";"";""
"3325";"GM1721";"2018JJ00";"     256";"     137";"       .";"    48.7";"     400";"     2.4";"       .";"     2.2";"     8.1"
"3351";"GM0568";"2018JJ00";"";"";"";"";"";"";"";"";""
"3377";"GM0753";"2018JJ00";"     324";"     360";"     272";"    48.8";"     440";"     9.4";"       .";"     1.7";"     1.6"
"3403";"GM0209";"2018JJ00";"      84";"     253";"     235";"    46.2";"     410";"     5.3";"       .";"     2.6";"     6.7"
"3429";"GM0375";"2018JJ00";"      99";"    1043";"     194";"    40.6";"     560";"    13.2";"       .";"     1.6";"     1.8"
"3455";"GM0063";"2018JJ00";"";"";"";"";"";"";"";"";""
