ID;gemeentecode;Voorraadwoningen;Nieuwbouwwoningen;Woningdichtheid;Bedrijven;Restaurants3km
1505;GM1680;11165;85;40;2230;     4.9
1531;GM0738;5109;41;101;1590;     1.2
1557;GM0358;12888;193;641;3610;    15.4
1583;GM0197;11922;44;123;2140;     7.1
1609;GM0480;;;;;
1635;GM0739;;;;;
1661;GM0305;;;;;
1687;GM0059;12075;42;118;2365;     2.9
1713;GM0360;;;;;
1739;GM0482;8276;53;943;1685;    10.2
1765;GM0613;10333;22;476;2005;     9.5
1791;GM0483;;;;;
1817;GM0361;50830;189;460;9835;    59.0
1843;GM0141;32988;363;490;5125;    30.0
1869;GM0034;82312;1645;637;16250;    29.2
1895;GM0484;47099;429;373;9795;    25.0
1921;GM0741;;;;;
1947;GM1723;4280;64;46;1220;     6.2
1973;GM1959;;;;;
1999;GM0142;;;;;
2025;GM1679;;;;;
2051;GM0060;1712;10;29;530;    15.2
2077;GM0306;;;;;
2103;GM0307;66530;365;1062;14315;    66.6
2129;GM0198;;;;;
2155;GM0362;41782;236;1016;8380;    49.7
2181;GM0363;432715;7530;2615;125790;   441.0
2207;GM0364;;;;;
2233;GM0199;;;;;
2259;GM0105;;;;;
2285;GM0366;;;;;
2311;GM0200;71526;866;210;12955;    43.4
2337;GM0003;5925;117;249;575;     7.9
2363;GM0885;;;;;
2389;GM0649;;;;;
2415;GM0202;74416;823;761;13635;    68.6
2441;GM0106;31424;284;384;4375;    28.9
2467;GM0743;6803;48;97;1810;    11.3
2493;GM0143;;;;;
2519;GM0650;;;;;
2545;GM0744;2832;30;37;900;     6.8
2571;GM0308;11564;67;355;3015;    27.4
2597;GM0745;;;;;
2623;GM0489;19184;54;972;4570;    13.8
2649;GM0203;21926;344;125;6510;    13.1
2675;GM0144;;;;;
2701;GM0005;4614;24;104;730;     5.6
2727;GM0888;7424;49;353;1530;    16.0
2753;GM0746;;;;;
2779;GM1954;;;;;
2805;GM0370;3836;92;54;1160;    19.5
2831;GM0889;5946;14;212;890;     7.6
2857;GM0107;;;;;
2883;GM0890;;;;;
2909;GM0007;;;;;
2935;GM0206;;;;;
2961;GM0372;;;;;
2987;GM1945;15518;96;180;2745;     9.3
3013;GM0491;;;;;
3039;GM1724;7810;55;77;2120;     6.3
3065;GM0893;5683;38;55;1020;     4.6
3091;GM0373;15113;45;153;3430;    17.9
3117;GM0748;30047;346;376;4900;    36.9
3143;GM0749;;;;;
3169;GM0207;;;;;
3195;GM0492;;;;;
3221;GM0493;;;;;
3247;GM0751;;;;;
3273;GM1859;19492;80;76;3930;     6.2
3299;GM0752;;;;;
3325;GM1721;12301;202;137;3105;     5.2
3351;GM0568;;;;;
3377;GM0753;12353;215;360;2575;    13.9
3403;GM0209;11043;46;253;2165;     9.5
3429;GM0375;19189;107;1043;3765;    44.0
3455;GM0063;;;;;
3481;GM0310;19412;119;294;4585;    17.3
3507;GM0585;12809;68;185;2605;     2.4
3533;GM1728;8552;68;114;2125;     8.6
3559;GM0754;;;;;
3585;GM0376;4865;84;438;1450;    24.5
3611;GM0495;;;;;
3637;GM0377;9894;81;249;2760;    53.3
3663;GM0055;;;;;
3689;GM0497;;;;;
3715;GM1901;14260;289;189;3915;    11.3
3741;GM0755;4082;90;118;1165;     4.0
3767;GM0009;3052;0;67;565;     3.9
3793;GM0064;;;;;
3819;GM0211;;;;;
3845;GM0108;;;;;
3871;GM1681;11608;47;42;2245;     4.6
3897;GM0897;;;;;
3923;GM0147;9748;64;375;1670;    13.0
3949;GM0654;9781;21;69;2120;     2.2
3975;GM0499;;;;;
4001;GM0756;12206;214;110;2320;     8.7
4027;GM0757;13333;30;209;2695;    21.2
4053;GM0212;;;;;
4079;GM0758;83253;521;662;17795;    64.2
4105;GM0194;;;;;
4131;GM0311;;;;;
4157;GM0501;7918;36;287;1495;    14.7
4183;GM0898;;;;;
4209;GM1876;16088;59;57;3980;     4.2
4235;GM0656;;;;;
4261;GM0657;;;;;
4287;GM0213;9279;35;111;1735;     5.0
4313;GM0899;14508;32;841;1490;    24.7
4339;GM0759;;;;;
4365;GM0312;6371;6;172;1670;     7.0
4391;GM0313;8251;174;272;2110;    15.0
4417;GM0214;10529;73;79;3175;     2.9
4443;GM0381;;;;;
4469;GM0502;30748;78;2175;5390;    23.7
4495;GM0383;15814;131;318;3175;    19.0
4521;GM0760;;;;;
4547;GM0109;15478;97;52;2980;     7.4
4573;GM0314;;;;;
4599;GM1706;8887;68;116;2030;     7.9
4625;GM0611;5635;83;104;1340;     6.4
4651;GM1684;10938;44;214;1860;    14.4
4677;GM0216;12177;213;416;2515;    14.8
4703;GM0110;;;;;
4729;GM0148;11511;187;70;2660;     5.7
4755;GM0065;;;;;
4781;GM1891;8144;62;96;1360;     1.8
4807;GM0503;49855;336;2201;7995;   111.1
4833;GM0010;12241;2;92;1590;     9.0
4859;GM0149;;;;;
4885;GM0762;13644;218;117;3205;    15.1
4911;GM0150;44707;375;342;7555;    36.8
4937;GM0218;;;;;
4963;GM0384;13136;638;1095;2595;    33.5
4989;GM0151;;;;;
5015;GM0152;;;;;
5041;GM0763;;;;;
5067;GM0111;;;;;
5093;GM1774;10774;121;61;2725;     9.5
5119;GM0764;;;;;
5145;GM0219;;;;;
5171;GM0504;;;;;
5197;GM0220;;;;;
5223;GM0221;5279;2;458;810;    11.8
5249;GM0222;25628;280;324;4900;    21.8
5275;GM0660;;;;;
5301;GM0766;11075;157;379;2215;     9.4
5327;GM0058;11024;30;66;1935;     7.0
5353;GM0315;;;;;
5379;GM0505;55059;276;701;9195;    36.7
5405;GM0498;8202;86;139;1940;     2.4
5431;GM0316;;;;;
5457;GM1719;11708;72;123;2610;     3.4
5483;GM0303;16901;228;51;3795;     5.7
5509;GM0767;;;;;
5535;GM0225;7983;63;212;1605;     6.5
5561;GM0662;;;;;
5587;GM0226;10678;33;315;2000;     8.6
5613;GM0768;;;;;
5639;GM0769;;;;;
5665;GM0112;;;;;
5691;GM0902;;;;;
5717;GM0227;;;;;
5743;GM1711;14532;8;141;2725;     8.4
5769;GM0385;14915;122;275;4145;    20.0
5795;GM0228;48007;1043;151;10825;    22.7
5821;GM0113;;;;;
5847;GM0317;3812;52;123;1175;    13.9
5873;GM1651;7410;8;39;1290;     4.5
5899;GM0770;8071;207;98;2025;     8.9
5925;GM0357;;;;;
5951;GM0229;;;;;
5977;GM0905;;;;;
6003;GM1903;11181;57;144;2200;     7.4
6029;GM0772;109468;1228;1249;20750;    84.9
6055;GM0230;9274;29;145;1810;    10.6
6081;GM0231;;;;;
6107;GM0114;48923;122;146;7770;    10.8
6133;GM0388;8717;22;687;1740;    22.2
6159;GM0153;73672;360;523;11320;    59.8
6185;GM0232;14243;101;91;2865;    12.1
6211;GM0233;10948;76;128;2440;    13.8
6237;GM0776;;;;;
6263;GM0777;18732;229;339;3525;    21.1
6289;GM0068;;;;;
6315;GM1722;3847;16;38;700;     2.3
6341;GM0778;;;;;
6367;GM0070;;;;;
6393;GM1921;;;;;
6419;GM1940;23086;128;66;5620;     8.2
6445;GM0653;;;;;
6471;GM0115;;;;;
6497;GM0779;9614;18;361;1995;    11.7
6523;GM0236;10940;178;110;2990;     6.1
6549;GM0781;;;;;
6575;GM1771;17429;181;562;3040;    15.2
6601;GM0906;;;;;
6627;GM0782;;;;;
6653;GM1652;12683;79;104;2895;     8.2
6679;GM0237;;;;;
6705;GM0238;;;;;
6731;GM0154;;;;;
6757;GM0907;7387;26;155;1350;     7.9
6783;GM0689;5927;7;93;1605;     2.2
6809;GM0116;;;;;
6835;GM0784;11199;83;171;2220;     6.5
6861;GM0511;;;;;
6887;GM1924;21374;263;82;4440;     5.5
6913;GM0664;18062;193;195;3490;    30.6
6939;GM0785;10136;104;236;1975;    10.7
6965;GM1942;26342;141;633;7775;    45.6
6991;GM0156;;;;;
7017;GM0512;16392;140;871;3195;    28.7
7043;GM0239;;;;;
7069;GM0513;32758;271;1985;5680;    49.4
7095;GM0693;;;;;
7121;GM0365;;;;;
7147;GM0157;;;;;
7173;GM0786;5419;21;199;935;    14.0
7199;GM0390;;;;;
7225;GM0517;;;;;
7251;GM0518;256694;1348;3113;52560;   214.2
7277;GM0787;;;;;
7303;GM0519;;;;;
7329;GM0240;;;;;
7355;GM0241;;;;;
7381;GM0014;100946;1035;1063;16455;   145.0
7407;GM0015;5007;43;58;1085;     2.4
7433;GM0912;;;;;
7459;GM0913;;;;;
7485;GM1729;6784;19;93;1310;    13.7
7511;GM0158;10315;94;98;2130;    16.7
7537;GM0788;5805;101;101;1555;     6.0
7563;GM0392;74796;526;2564;17105;   130.2
7589;GM0393;2357;57;123;715;     6.7
7615;GM0394;60622;417;340;15790;    21.5
7641;GM0914;;;;;
7667;GM1655;13093;188;176;2770;     6.4
7693;GM0789;;;;;
7719;GM0159;;;;;
7745;GM0160;24316;173;78;4835;     7.8
7771;GM0243;19289;192;496;3845;    25.1
7797;GM0523;7247;107;429;1685;     6.0
7823;GM0017;8925;140;197;1735;    10.9
7849;GM0395;;;;;
7875;GM0072;7621;54;305;1445;    22.5
7901;GM0318;;;;;
7927;GM0161;;;;;
7953;GM0244;5284;30;229;955;    13.2
7979;GM0117;;;;;
8005;GM0245;;;;;
8031;GM1937;;;;;
8057;GM0396;17439;40;638;2620;    32.0
8083;GM0397;12561;10;1369;2995;    48.0
8109;GM0246;7815;79;99;1440;     6.1
8135;GM0074;23367;218;123;4570;    17.6
8161;GM0247;;;;;
8187;GM0398;23216;252;608;4180;    17.9
8213;GM0526;;;;;
8239;GM0917;45758;54;1018;5405;    36.6
8265;GM0791;;;;;
8291;GM0793;;;;;
8317;GM1658;6772;53;65;1730;     7.2
8343;GM0399;10528;131;563;2050;    18.2
8369;GM0162;;;;;
8395;GM0918;;;;;
8421;GM0400;27988;167;618;2975;    16.5
8447;GM0163;14645;101;106;2690;    11.6
8473;GM0530;17923;1;436;2605;    16.6
8499;GM0794;39798;385;748;6800;    28.5
8525;GM0795;;;;;
8551;GM0531;12141;102;1144;2345;    22.3
8577;GM0248;;;;;
8603;GM0164;38169;134;627;6400;    40.3
8629;GM0796;71196;774;646;16460;    64.0
8655;GM0251;;;;;
8681;GM0252;7123;30;179;1430;     7.6
8707;GM0797;18523;224;235;4210;     8.8
8733;GM0920;;;;;
8759;GM0534;9681;82;752;1945;    16.1
8785;GM0798;6522;68;69;1715;     6.8
8811;GM0402;41942;277;920;10395;   100.8
8837;GM1963;;;;;
8863;GM0253;;;;;
8889;GM0799;;;;;
8915;GM1735;15054;76;71;3660;     7.3
8941;GM1966;;;;;
8967;GM1911;20689;137;58;4975;     3.2
8993;GM0165;;;;;
9019;GM0675;;;;;
9045;GM0801;;;;;
9071;GM0802;;;;;
9097;GM0800;;;;;
9123;GM0118;24867;290;195;4130;    19.6
9149;GM0018;;;;;
9175;GM0405;32783;147;1609;5975;    35.3
